handle,product_name,herb_position,herb_name,herb_latin_name,herb_common_name,herb_family_name,herb_parts_used,herb_actions,herb_benefits,herb_description,herb_image_url
throat-coat-tea,Throat Coat® Tea,1,Licorice,Glycyrrhiza glabra,Licorice,Fabaceae,"Root, Rhizome",Demulcent,Digestive; Respiratory; Throat Health,"More than a sweet treat, licorice root is traditionally used in herbal medicine for soothing digestion and supporting respiratory health.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Licoriceroot_1400x1400_ff361d1b-d253-4576-81ae-f771016bbab5_920x1120_crop_center.jpg?v=1784234088
throat-coat-tea,Throat Coat® Tea,2,Slippery Elm,Ulmus rubra,Gray Elm,Ulmaceae,Inner bark,"Demulcent, Astringent, Nutritive Tonic",Seasonal Care,"Slippery elm is a nutritive and mucilaginous botanical that’s commonly used to soothe and lubricate tissues in the digestive tract, and support throat health.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Gallery_SlipperyElm_2_1400x1400_Steven_Foster_Web_Use_Only_59600d07-865a-4bec-b4db-a07dc0f7e285_920x1120_crop_center.jpg?v=1784235601
chamomile-with-lavender-tea,Chamomile & Lavender Tea,1,Lavender,"Lavandula spp., Lavandula angustifolia",Lavender,Lamiaceae,Flower,"Antispasmodic, Carminative, Nervine Carminative, Nervine",Digestion; Relaxation; Stress Relief,"Lavender has a wide range of wellness benefits like settling the nervous system, easing occasional stress, and relaxing the digestive system.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Lavender_1400x1400_0ddf5399-5c54-42e7-bb69-e44335487cd9_920x1120_crop_center.jpg?v=1784235006
chamomile-with-lavender-tea,Chamomile & Lavender Tea,2,Chamomile,Matricaria chamomilla,Chamomile,Asteraceae,Flower,"Antispasmodic, Bitter, Carminative, Nervine",Relaxation; Stress Relief; Sleep; Digestion,"Utilized in many households to comfort bellies and induce relaxation, a simple cup of chamomile tea may be one of the most common staples of herbalism.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_chamomile_1400x1400_499bea1f-023a-41be-891a-aee3a072565f_920x1120_crop_center.jpg?v=1779213168
chamomile-with-lavender-tea,Chamomile & Lavender Tea,3,Lemon Balm,Melissa officinalis,Lemon Balm,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic, Diaphoretic, Hepatic",Relaxation; Digestion; Good Mood,Lemon balm supports digestion and helps calm frazzled nerves.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_LemonBalm_1400x1400_6f494e57-5d64-4da6-a39d-9b54cc00621b_920x1120_crop_center.jpg?v=1784234964
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,1,Hawthorn,Crataegus spp.,Haw,Rosaceae,"Flower, Fruit","Cardiotonic, diuretic, astringent",Heart Health,"Hawthorn’s leaves, flowers and crimson berries have been used for centuries to support the cardiovascular system and are one of the most popular herbs for heart health across Europe.*",https://www.traditionalmedicinals.com/cdn/shopifycloud/storefront/assets/no-image-2048-a2addb12_920x1120_crop_center.gif
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,2,Hibiscus,Hibiscus sabdariffa,Hibiscus,Malvaceae,Calyces,"Demulcent, Emollient, Aromatic, Cooling, Cardio Tonic, Diuretic",Heart Health; Water Retention,Folks appreciate hibiscus as a refreshing way to enjoy cardiovascular and diuretic support.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Hibiscus_1400x1400_db773bf4-dcd9-420c-86a6-9db77116b5dd_920x1120_crop_center.jpg?v=1784235144
breathe-easy-tea,Breathe Easy® Tea,1,Licorice,Glycyrrhiza glabra,Licorice,Fabaceae,"Root, Rhizome",Demulcent,Digestive; Respiratory; Throat Health,"More than a sweet treat, licorice root is traditionally used in herbal medicine for soothing digestion and supporting respiratory health.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Licoriceroot_1400x1400_ff361d1b-d253-4576-81ae-f771016bbab5_920x1120_crop_center.jpg?v=1784234088
breathe-easy-tea,Breathe Easy® Tea,2,Eucalyptus,Eucalyptus globulus,Southern Blue Gum,Myrtaceae,Leaf,"Antispasmodic, Decongestant",Immunity; Respiratory; Seasonal Care; ,Eucalyptus leaves have been used to breathe in benefits supporting the respiratory tract for generations*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Eucalyptus_1400x1400_496a1aed-e0fd-47f4-874e-3a9cc6b6dae4_920x1120_crop_center.jpg?v=1784232423
breathe-easy-tea,Breathe Easy® Tea,3,Peppermint,Mentha x piperita,Peppermint,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic",Digestion,"As one of the most commonly known herbs, peppermint is like a breath of fresh air with its refreshing aroma and soothing health benefit in aiding digestion.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Peppermint_1400x1400_17e2adf7-75e0-40a5-b913-7bd53c5ebc3e_920x1120_crop_center.jpg?v=1784235234
breathe-easy-tea,Breathe Easy® Tea,4,Ginger,Zingiber officinale,Ginger,Zingiberaceae,Rhizome,"Stimulant, Carminative, Antispasmodic, Diaphoretic",Digestion; Nausea; Pre & Postnatal; Seasonal Care,"Herbal practitioners have used ginger’s rhizome to help with digestion, upset stomach, and nausea for more than 2,000 years.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Ginger_1400x1400_84688272-0ae4-46d1-b9e9-50021bc3bd16_920x1120_crop_center.jpg?v=1784233076
cup-of-calm-tea,Cup of Calm® Tea,1,Chamomile,Matricaria chamomilla,Chamomile,Asteraceae,Flower,"Antispasmodic, Bitter, Carminative, Nervine",Relaxation; Stress Relief; Sleep; Digestion,"Utilized in many households to comfort bellies and induce relaxation, a simple cup of chamomile tea may be one of the most common staples of herbalism.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_chamomile_1400x1400_499bea1f-023a-41be-891a-aee3a072565f_920x1120_crop_center.jpg?v=1779213168
cup-of-calm-tea,Cup of Calm® Tea,2,Passionflower,Passiflora incarnata,Passionflower,Passifloraceae,"Flower, Leaf, Stem","Nervine, Sedative",Sleep; Relaxation; Stress Relief,"Passionflower benefits the mind and body as it soothes the nerves, promotes relaxation and rest, and helps ease occasional worry.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_PassionFlower_1400x1400_0703ec02-31a3-4688-97ac-da544e4e62f1_920x1120_crop_center.jpg?v=1784235127
cup-of-calm-tea,Cup of Calm® Tea,3,Lavender,"Lavandula spp., Lavandula angustifolia",Lavender,Lamiaceae,Flower,"Antispasmodic, Carminative, Nervine Carminative, Nervine",Digestion; Relaxation; Stress Relief,"Lavender has a wide range of wellness benefits like settling the nervous system, easing occasional stress, and relaxing the digestive system.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Lavender_1400x1400_0ddf5399-5c54-42e7-bb69-e44335487cd9_920x1120_crop_center.jpg?v=1784235006
cup-of-calm-tea,Cup of Calm® Tea,4,Peppermint,Mentha x piperita,Peppermint,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic",Digestion,"As one of the most commonly known herbs, peppermint is like a breath of fresh air with its refreshing aroma and soothing health benefit in aiding digestion.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Peppermint_1400x1400_17e2adf7-75e0-40a5-b913-7bd53c5ebc3e_920x1120_crop_center.jpg?v=1784235234
cup-of-calm-tea,Cup of Calm® Tea,5,Catnip,Nepeta cataria,Catmint,Lamiaceae,"Leaf, Flower","Nervine, carminative, antispasmodic, diaphoretic",Stress Relief; Sleep,Catnip is a calming and comforting herb that can help ease nervous tension and promote restful sleep.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_catnip_1400x1400_079e397c-20c6-4e18-af18-660f6f1af0d9_920x1120_crop_center.jpg?v=1784235486
cup-of-calm-tea,Cup of Calm® Tea,6,Spearmint,Mentha spicata,Garden Mint,Lamiaceae,Leaf,,,"“Spearmint vs peppermint?” While peppermint has a sharp bite, we use spearmint to pep up a blend’s taste and benefits—perfectly sweet without an overpoweringly minty flavor.",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Spearmint_1400x1400_84f015cc-276e-4fd5-b050-d9d363e102ea_920x1120_crop_center.jpg?v=1779303990
cup-of-calm-tea,Cup of Calm® Tea,7,Licorice,Glycyrrhiza glabra,Licorice,Fabaceae,"Root, Rhizome",Demulcent,Digestive; Respiratory; Throat Health,"More than a sweet treat, licorice root is traditionally used in herbal medicine for soothing digestion and supporting respiratory health.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Licoriceroot_1400x1400_ff361d1b-d253-4576-81ae-f771016bbab5_920x1120_crop_center.jpg?v=1784234088
peppermint-tea,Peppermint Tea,1,Peppermint,Mentha x piperita,Peppermint,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic",Digestion,"As one of the most commonly known herbs, peppermint is like a breath of fresh air with its refreshing aroma and soothing health benefit in aiding digestion.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Peppermint_1400x1400_17e2adf7-75e0-40a5-b913-7bd53c5ebc3e_920x1120_crop_center.jpg?v=1784235234
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,1,Echinacea,"Echinacea purpurea, E. angustifolia",Echinacea,Asteraceae,"Leaf, Flower, Root","Immune stimulant, Alterative",Immunity; Seasonal Care,"Utilized by Native American peoples as an all-purpose herb for generations, echinacea is added for its contribution to immune support.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Echinacea_1400x1400_30baf8a7-9460-453e-ab46-4a3e32a52e99_920x1120_crop_center.jpg?v=1784235178
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,2,Elder,Sambucus nigra,European Elder,Viburnaceae,"Flower, Fruit","Diaphoretic, Immune Tonic",Immunity; Seasonal Care,Elder notably appears in seasonal formulas supporting immune health.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Elder_1400x1400_c346e607-e312-409f-891b-bbb7dd3a3f43_920x1120_crop_center.jpg?v=1784234653
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,3,Ginger,Zingiber officinale,Ginger,Zingiberaceae,Rhizome,"Stimulant, Carminative, Antispasmodic, Diaphoretic",Digestion; Nausea; Pre & Postnatal; Seasonal Care,"Herbal practitioners have used ginger’s rhizome to help with digestion, upset stomach, and nausea for more than 2,000 years.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Ginger_1400x1400_84688272-0ae4-46d1-b9e9-50021bc3bd16_920x1120_crop_center.jpg?v=1784233076
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,4,Chamomile,Matricaria chamomilla,Chamomile,Asteraceae,Flower,"Antispasmodic, Bitter, Carminative, Nervine",Relaxation; Stress Relief; Sleep; Digestion,"Utilized in many households to comfort bellies and induce relaxation, a simple cup of chamomile tea may be one of the most common staples of herbalism.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_chamomile_1400x1400_499bea1f-023a-41be-891a-aee3a072565f_920x1120_crop_center.jpg?v=1779213168
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,5,Peppermint,Mentha x piperita,Peppermint,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic",Digestion,"As one of the most commonly known herbs, peppermint is like a breath of fresh air with its refreshing aroma and soothing health benefit in aiding digestion.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Peppermint_1400x1400_17e2adf7-75e0-40a5-b913-7bd53c5ebc3e_920x1120_crop_center.jpg?v=1784235234
spearmint-tea,Spearmint Tea,1,Spearmint,Mentha spicata,Garden Mint,Lamiaceae,Leaf,,,"“Spearmint vs peppermint?” While peppermint has a sharp bite, we use spearmint to pep up a blend’s taste and benefits—perfectly sweet without an overpoweringly minty flavor.",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Spearmint_1400x1400_84f015cc-276e-4fd5-b050-d9d363e102ea_920x1120_crop_center.jpg?v=1779303990
hibiscus-tea,Hibiscus Tea,1,Hibiscus,Hibiscus sabdariffa,Hibiscus,Malvaceae,Calyces,"Demulcent, Emollient, Aromatic, Cooling, Cardio Tonic, Diuretic",Heart Health; Water Retention,Folks appreciate hibiscus as a refreshing way to enjoy cardiovascular and diuretic support.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Hibiscus_1400x1400_db773bf4-dcd9-420c-86a6-9db77116b5dd_920x1120_crop_center.jpg?v=1784235144
hibiscus-tea,Hibiscus Tea,2,Lemongrass,Cymbopogon citratus,Barbed wire grass,Poaceae,"Leaf, whole young shoots","Antispasmodic, diaphoretic, nervine",Stress Relief; Digestion,"Lemongrass is a hardy grass that’s adored for its citrusy scent, lemony taste, and golden hue when steeped as a tea.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_lemongrass_1400x1400_0e59ce5e-9faf-4de2-8db7-702a651cb4f1_920x1120_crop_center.jpg?v=1784234571
ginger-tea,Ginger Tea,1,Ginger,Zingiber officinale,Ginger,Zingiberaceae,Rhizome,"Stimulant, Carminative, Antispasmodic, Diaphoretic",Digestion; Nausea; Pre & Postnatal; Seasonal Care,"Herbal practitioners have used ginger’s rhizome to help with digestion, upset stomach, and nausea for more than 2,000 years.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Ginger_1400x1400_84688272-0ae4-46d1-b9e9-50021bc3bd16_920x1120_crop_center.jpg?v=1784233076
roasted-dandelion-root-tea,Roasted Dandelion Root Tea,1,Dandelion,Taraxacum officinale,Dandelion,Asteraceae,"Leaf, Root","Alterative, Diuretic, Hepatic, Cholagogue, Digestive Tonic, Bitter",Detox; Digestion; Water Retention,The uses of dandelion span from wild food to trusted herbal ally to gently support the body’s natural detoxification process.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Dandelion_1400x1400_667f66fd-e8b7-4c6f-afeb-3f2db752a36d_920x1120_crop_center.jpg?v=1784237224
smooth-move-tea,Smooth Move® Tea,1,Senna,Senna alexandrina,Senna,Fabaceae,"Leaf, Pod",Stimulant laxative,Laxative; Digestion,Need to get things moving? Senna is used for just that. This herbal laxative is an herbaceous way to relieve occasional constipation.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Senna_1400x1400_77c545a0-1a18-4385-955f-2d8658cfc75c_920x1120_crop_center.jpg?v=1784235249
smooth-move-tea,Smooth Move® Tea,2,Licorice,Glycyrrhiza glabra,Licorice,Fabaceae,"Root, Rhizome",Demulcent,Digestive; Respiratory; Throat Health,"More than a sweet treat, licorice root is traditionally used in herbal medicine for soothing digestion and supporting respiratory health.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Licoriceroot_1400x1400_ff361d1b-d253-4576-81ae-f771016bbab5_920x1120_crop_center.jpg?v=1784234088
smooth-move-tea,Smooth Move® Tea,3,Ginger,Zingiber officinale,Ginger,Zingiberaceae,Rhizome,"Stimulant, Carminative, Antispasmodic, Diaphoretic",Digestion; Nausea; Pre & Postnatal; Seasonal Care,"Herbal practitioners have used ginger’s rhizome to help with digestion, upset stomach, and nausea for more than 2,000 years.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Ginger_1400x1400_84688272-0ae4-46d1-b9e9-50021bc3bd16_920x1120_crop_center.jpg?v=1784233076
smooth-move-tea,Smooth Move® Tea,4,Fennel,Foeniculum vulgare,Bitter Fennel,Apiaceae,"Bulb, Fruit (seed), Leaf","Carminative, Galactagogue",Digestion; Pre & Postnatal,"A versatile herb from the kitchen to the apothecary, fennel is traditionally used in herbalism to relieve occasional gas and bloating and support breastmilk production in nursing moms.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Fennel_1400x1400_3640bfad-6a05-44b4-8076-5b1abab22c4c_920x1120_crop_center.jpg?v=1784235567
chamomile-tea,Chamomile Tea,1,Chamomile,Matricaria chamomilla,Chamomile,Asteraceae,Flower,"Antispasmodic, Bitter, Carminative, Nervine",Relaxation; Stress Relief; Sleep; Digestion,"Utilized in many households to comfort bellies and induce relaxation, a simple cup of chamomile tea may be one of the most common staples of herbalism.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_chamomile_1400x1400_499bea1f-023a-41be-891a-aee3a072565f_920x1120_crop_center.jpg?v=1779213168
raspberry-leaf-tea,Raspberry Leaf Tea,1,Raspberry Leaf,Rubus idaeus,Raspberry Leaf,Rosaceae,Leaf,"Astringent, Nutritive tonic, Uterine Tonic",Women's Cycle; Pre & Postnatal,European and Native American women have been reaching for raspberry leaves for centuries to relieve normal menstrual cramps and prepare the womb for childbirth during pregnancy.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_RaspberryLeaf_1400x1400_7c4d3606-b99e-4984-8886-e96a545fb355_920x1120_crop_center.jpg?v=1784233103
everyday-detox-tea,EveryDay Detox® Hibiscus & Schisandra Berry Tea,1,Schisandra Berry,Schisandra chinensis,Schisandra,Schisandraceae,Fruit,"Astringent, Hepatic, Adaptogen, Urinary Tonic",Detox; Stress Relief,"Traditionally used to support a variety of organs, schisandra is an adaptogenic super fruit used to support overall stamina and vitality.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_SchishandraBerry_1400x1400_91b5204a-85ba-44fc-9f98-3c02634e6b91_920x1120_crop_center.jpg?v=1784234150
everyday-detox-tea,EveryDay Detox® Hibiscus & Schisandra Berry Tea,2,Hibiscus,Hibiscus sabdariffa,Hibiscus,Malvaceae,Calyces,"Demulcent, Emollient, Aromatic, Cooling, Cardio Tonic, Diuretic",Heart Health; Water Retention,Folks appreciate hibiscus as a refreshing way to enjoy cardiovascular and diuretic support.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Hibiscus_1400x1400_db773bf4-dcd9-420c-86a6-9db77116b5dd_920x1120_crop_center.jpg?v=1784235144
everyday-detox-tea,EveryDay Detox® Hibiscus & Schisandra Berry Tea,3,Nettle,Urtica dioica,Nettle,Urticaceae,"Leaf, Root","Astringent, Diuretic, Nutritive Tonic",Detox; Joint Health; Water Retention; Women’s Cycle,"An herbalist favorite, nettle is used to support the kidneys and joints.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Nettle_1400x1400_c182b159-cbf5-4578-8969-2098ce3f8a93_920x1120_crop_center.jpg?v=1784234829
everyday-detox-tea,EveryDay Detox® Hibiscus & Schisandra Berry Tea,4,Licorice,Glycyrrhiza glabra,Licorice,Fabaceae,"Root, Rhizome",Demulcent,Digestive; Respiratory; Throat Health,"More than a sweet treat, licorice root is traditionally used in herbal medicine for soothing digestion and supporting respiratory health.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Licoriceroot_1400x1400_ff361d1b-d253-4576-81ae-f771016bbab5_920x1120_crop_center.jpg?v=1784234088
fennel-tea,Fennel Tea,1,Fennel,Foeniculum vulgare,Bitter Fennel,Apiaceae,"Bulb, Fruit (seed), Leaf","Carminative, Galactagogue",Digestion; Pre & Postnatal,"A versatile herb from the kitchen to the apothecary, fennel is traditionally used in herbalism to relieve occasional gas and bloating and support breastmilk production in nursing moms.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Fennel_1400x1400_3640bfad-6a05-44b4-8076-5b1abab22c4c_920x1120_crop_center.jpg?v=1784235567
everyday-detox-lemon-tea,EveryDay Detox® Lemon Tea,1,Nettle,Urtica dioica,Nettle,Urticaceae,"Leaf, Root","Astringent, Diuretic, Nutritive Tonic",Detox; Joint Health; Water Retention; Women’s Cycle,"An herbalist favorite, nettle is used to support the kidneys and joints.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Nettle_1400x1400_c182b159-cbf5-4578-8969-2098ce3f8a93_920x1120_crop_center.jpg?v=1784234829
everyday-detox-lemon-tea,EveryDay Detox® Lemon Tea,2,Dandelion,Taraxacum officinale,Dandelion,Asteraceae,"Leaf, Root","Alterative, Diuretic, Hepatic, Cholagogue, Digestive Tonic, Bitter",Detox; Digestion; Water Retention,The uses of dandelion span from wild food to trusted herbal ally to gently support the body’s natural detoxification process.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Dandelion_1400x1400_667f66fd-e8b7-4c6f-afeb-3f2db752a36d_920x1120_crop_center.jpg?v=1784237224
everyday-detox-lemon-tea,EveryDay Detox® Lemon Tea,3,Burdock,Articum lappa,Bardana,Asteraceae,"Root, Leaf, Seed","Alterative, bitter, diuretic, hepatic, minor laxative",Digestion; Skin Health; Detox,"Rich with inulin and prebiotic starches, burdock root is used to help support healthy elimination, kidneys, and beautiful, glowing skin.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_burdock_1400x1400_2f7c01fa-a5f6-40f4-8db6-10a224de9956_920x1120_crop_center.jpg?v=1784235454
