handle,product_name,faq_position,question,answer
dandelion-leaf-root-tea,Dandelion Leaf & Root Tea,3,What does Organic Dandelion Leaf & Root tea taste like?,"Our Organic Dandelion Leaf & Root tea tastes enjoyably mild, offering a delicate, earthy, and slightly sweet flavor."
dandelion-leaf-root-tea,Dandelion Leaf & Root Tea,4,What is the difference between Roasted Dandelion Root tea and Dandelion Leaf & Root tea?,"Our Organic Roasted Dandelion Root tea contains just the roots of the dandelion plant to specifically stimulate the liver and support healthy digestion.* In addition, we roast the roots to provide a pleasantly robust, roasted flavor with slightly bitter notes. In contrast, our Organic Dandelion Leaf & Root is formulated with both the roots and leaves of dandelion. Our herbalists include the leaves to provide the additional benefit of kidney support.* These unroasted ingredients offer an overall milder and sweeter flavor. Both dandelion teas are caffeine-free herbal teas."
dandelion-leaf-root-tea,Dandelion Leaf & Root Tea,5,How to Enjoy,"Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3 cups per day. Best if drunk daily for up to 2 weeks, followed by a break of 1 week. For Adults Only."
dandelion-leaf-root-tea,Dandelion Leaf & Root Tea,6,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
nettle-leaf-tea,Nettle Leaf Tea,1,What are the benefits of nettle leaf tea?,Incorporating nettle leaf tea into your routine benefits whole body support and joint health.*
nettle-leaf-tea,Nettle Leaf Tea,2,Can I consume nettle leaf tea every day?,"For the most benefit, drink 3-4 cups daily to support overall wellness.* That said, we encourage individuals to consult with their healthcare practitioner for personalized consumption recommendations depending on their unique health history."
nettle-leaf-tea,Nettle Leaf Tea,3,Who should not consumer nettle leaf tea?,"While nettle leaf is a common herbal ally, individuals that are diabetic should consult with their healthcare practitioner prior to use as nettle leaf may affect blood sugar and insulin levels."
nettle-leaf-tea,Nettle Leaf Tea,4,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3-4 cups per day.
nettle-leaf-tea,Nettle Leaf Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
throat-coat-tea,Throat Coat® Tea,1,What are the benefits of Throat Coat tea?,Our Throat Coat tea supports throat health when you need soothing relief.*
throat-coat-tea,Throat Coat® Tea,2,How often can I drink Throat Coat tea?,"For the most benefit, drink 4-6 cups daily while you’re in need. That said, it’s always a great idea to consult your herbalist or healthcare practitioner for personalized recommendations. For additional consumption information, check out the side panel of your tea box or the Supplement Facts card on this page."
throat-coat-tea,Throat Coat® Tea,3,Why is Throat Coat not recommended for children under 12 years of age?,"This tea is formulated with adult bodies and constitutions in mind, which is why we’re unable to recommend it for kids. We suggest consulting with a pediatrician to explore how herbs can play a part in your child’s wellness."
throat-coat-tea,Throat Coat® Tea,4,"What is the difference between Throat Coat Original, Throat Coat Lemon Echinacea and Throat Coat Eucalyptus?","Our line of Organic Throat Coat teas is formulated with classic demulcent, or soothing, herbs like slippery elm, marshmallow root, and licorice, but uniquely combined with other seasonal plant allies for specialized support. Sweet and silky, our original Organic Throat Coat tea features slippery elm in conjunction with marshmallow root and licorice for soothing relief when your throat needs some love.* Our Organic Throat Coat Lemon Echinacea combines the power of marshmallow root and licorice with the immune-supporting goodness of echinacea, and bright lemon for a sweet and citrusy flavor.* With our Organic Throat Coat Eucalyptus, we’ve combined slippery elm and eucalyptus to create extra support for both the throat and the respiratory system, that tastes sweet and earthy with a refreshing hint of mint.*"
throat-coat-tea,Throat Coat® Tea,5,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 4-6 cups per day. Especially good with honey!
throat-coat-tea,Throat Coat® Tea,6,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
chamomile-with-lavender-tea,Chamomile & Lavender Tea,1,What is Chamomile used for?,Chamomile is a wonderfully supportive herb that calms your nerves and supports healthy digestion.*
chamomile-with-lavender-tea,Chamomile & Lavender Tea,2,"What species of chamomile, lavender, and lemon balm do you use in your teas?","We formulate our Organic Chamomile & Lavender tea with organic chamomile ( Matricaria chamomilla ) , organic lavender ( Lavandula angustifolia ), and organic lemon balm ( Melissa officinalis)"
chamomile-with-lavender-tea,Chamomile & Lavender Tea,3,Why do you formulate lemon balm into this blend?,"Lemon balm is traditionally known to help calm frazzled nerves and has a mildly minty flavor with subtle citrus notes, making it the perfect addition to this blend to settle your nervous system when stressed.*"
chamomile-with-lavender-tea,Chamomile & Lavender Tea,4,How to Enjoy,Pour 8 oz. freshly boiled water over 2 tea bags. Cover & Steep for 10 min. Squeeze tea bags to ensure maximum goodness. Enjoy 3-4 cups per day.
chamomile-with-lavender-tea,Chamomile & Lavender Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,1,What are the benefits of hawthorn & hibiscus tea?,Our Organic Hawthorn & Hibiscus tea supports the cardiovascular system and maintains a healthy heart.*
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,2,What are the benefits of hawthorn?,"Hawthorn is loved by herbalists for promoting heart health as it contains beneficial and “to feed and tone the heart.”* help promote everyday wellness and support heart health, while, as condensed tannins, add a benefit much like red wine grapes."
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,3,What part of the hawthorn tree do you use in your tea?,"Our herbalists formulate our tea with hand-picked organic leaves, berries, and flowers that meet our high-quality standards."
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,4,Can I consume hawthorn & hibiscus tea every day?,"Our Hawthorn & Hibiscus tea can be consumed daily. It is a caffeine-free herbal tea that can be enjoyed any time of the day, either hot or brewed hot then served cold. That said, we encourage individuals to consult with their healthcare practitioner for personalized consumption recommendations depending on their unique health history."
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,5,Who should not drink hawthorn & hibiscus tea?,"While hawthorn and hibiscus tea can be a supportive and enjoyable addition to your wellness plan, individuals that experience heart conditions or are taking cardiac glycosides such as digoxin or blood pressure medications should consult with their healthcare practitioner prior to use."
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,6,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3-4 cups per day.
hawthorn-with-hibiscus-tea,Hawthorn & Hibiscus Tea,7,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
breathe-easy-tea,Breathe Easy® Tea,1,What are the benefits of Breathe Easy® tea?,Our Breathe Easy® tea promotes respiratory health like a breath of fresh air.*
breathe-easy-tea,Breathe Easy® Tea,2,Why doesn’t this product have the USDA Organic logo?,"Our Breathe Easy® tea contains 92% certified organic herbal ingredients, however, Bi Yan Pian is not certified organic as it contains ingredients that we have been unable source in organic quality. Although not organic, it does meet our strict high-quality pharmacopeial standards."
breathe-easy-tea,Breathe Easy® Tea,3,What is Bi Yan Pian extract?,Bi Yan Pian is a Traditional Chinese Medicine formulation that combines eleven herbs that assist in supporting respiratory health.* The extract is made by decocting the ingredients together in water and drying them into a single ingredient.
breathe-easy-tea,Breathe Easy® Tea,4,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3 cups per day. Especially good with honey!
breathe-easy-tea,Breathe Easy® Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
cup-of-calm-tea,Cup of Calm® Tea,1,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 2-3 cups per day.
cup-of-calm-tea,Cup of Calm® Tea,2,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
peppermint-tea,Peppermint Tea,1,What are the benefits of Peppermint Tea?,"Our Organic Peppermint tea soothes the belly and relieves occasional digestive discomfort.* Menthol, one of peppermint’s main active compounds, encourages the muscles of the digestive tract to relax and helps to slow muscle contractions, contributing to overall healthy digestion.*"
peppermint-tea,Peppermint Tea,2,Can I consume Peppermint Tea every day?,"Peppermint tea can be consumed daily. It is a caffeine-free herbal digestive that can be enjoyed any time of day, and is particularly helpful before or after meals. That said, we encourage individuals to consult with their healthcare practitioner for personalized consumption recommendations depending on their unique health history."
peppermint-tea,Peppermint Tea,3,Who should not drink Peppermint Tea?,"While peppermint tea is one of nature’s great digestive allies, individuals that experience acid reflux or hiatal hernia should consult with their healthcare practitioner prior to use as relaxing of the muscles in the digestive tract could temporarily exacerbate symptoms."
peppermint-tea,Peppermint Tea,4,Is Peppermint Tea good before bed?,"Enjoying a warm mug of peppermint tea after dinner and before bed is an age-old ritual to wind down the day. Naturally caffeine-free, you can drift off to dreamland without late night jitters."
peppermint-tea,Peppermint Tea,5,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3-4 cups per day.
peppermint-tea,Peppermint Tea,6,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,1,What does echinacea do?,"Echinacea is stimulating and supportive, providing a healthy boost to the immune system.*"
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,2,What does elderberry do?,Elderberry boosts the immune system for year-round support.*
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,3,What species of echinacea do you use in your tea?,We primarily use organic Echinacea purpurea.
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,4,What species of elderberry do you use in your tea?,"We use organic Sambucus nigra, commonly known as black elderberry."
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,5,What does the ratio (2-8:1) of organic echinacea root dry extract mean in the supplement facts panel?,This ratio is referencing the extraction amount of the organic echinacea root dry extract that we use to formulate the tea. The purpose of making extracts is to create the same amount of active ingredients but with less volume. The extraction ratio of (2-8:1) is stating the extraction rate may vary from 2:1 to 8:1 (starting material: finished extract).
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,6,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 5-6 cups per day. Good with honey!
echinacea-plus-elderberry-tea,Echinacea Plus® Elderberry Tea,7,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
spearmint-tea,Spearmint Tea,1,What are the benefits of spearmint tea?,"Our Organic Spearmint tea is healthy and refreshing, making it a wonderful choice as a daily herbal tea.*"
spearmint-tea,Spearmint Tea,2,Can I consume spearmint tea every day?,"You can enjoy our Organic Spearmint tea 1-3 times daily. Since it is a caffeine-free herbal tea, feel free to sip any time of the day. That said, we encourage individuals to consult with their healthcare practitioner for personalized consumption recommendations depending on their unique health history."
spearmint-tea,Spearmint Tea,3,What's the difference between spearmint and peppermint?,"Spearmint (Mentha spicata) and peppermint (Mentha x piperita) are both types of mint plants, but have different taste, appearance, and uses. While peppermint has a sharp minty bite, spearmint is perfectly sweet without an overpoweringly minty flavor."
spearmint-tea,Spearmint Tea,4,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 5-10 min. Squeeze tea bag to ensure maximum goodness. Enjoy 1-3 cups per day.
spearmint-tea,Spearmint Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
hibiscus-tea,Hibiscus Tea,1,What are the benefits of hibiscus tea?,"Our Organic Hibiscus tea supports the cardiovascular system and is a refreshing, tropical tea to give your heart a little love.*"
hibiscus-tea,Hibiscus Tea,2,Can I consume hibiscus tea every day?,"Hibiscus tea can be consumed daily. It is a caffeine-free herbal tea that can be enjoyed any time of the day, either hot or brewed hot and served cold. That said, we encourage individuals to consult with their healthcare practitioner for personalized consumption recommendations depending on their unique health history"
hibiscus-tea,Hibiscus Tea,3,What are some recipes I can make hibiscus tea with?,"Some of our favorite hibiscus tea recipes are, Agua de Jamaica, often found in Mexican restaurants, our Watermelon Hibiscus Daiquiri recipe , and our Ginger + Hibiscus Watermelon Pops ."
hibiscus-tea,Hibiscus Tea,4,How to Enjoy,"Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 5-10 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3-4 cups per day. To enjoy iced, brew hot as indicated above, replace cover, and place in the fridge to chill before adding ice. Keep chilled and consume within 24 hours."
hibiscus-tea,Hibiscus Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
ginger-tea,Ginger Tea,1,What are the health benefits of Ginger Tea?,"Our medicinal teas formulated with organic ginger provide the medicinal benefits of promoting healthy digestion, preventing nausea due to motion, and relieving stomach cramping.*"
ginger-tea,Ginger Tea,2,What species of ginger root do you use in your teas?,We formulate our organic ginger teas with organic ginger (Zingiber officinale) rhizome (root).
ginger-tea,Ginger Tea,3,Can I take Ginger Tea during pregnancy?,"Our Organic Ginger tea can be used during pregnancy and has traditionally been used to support to calm normal morning sickness.* That said, we recommend individuals who are pregnant consult with their healthcare practitioner who can offer personalized recommendations if ginger tea is right for them during their pregnancy."
ginger-tea,Ginger Tea,4,What is the difference between your Organic Ginger tea and your Organic Ginger Aid® tea?,"Both our Organic Ginger tea and our Organic Ginger Aid tea are caffeine-free and offer the health benefits of promoting healthy digestion and preventing nausea due to motion.* Our warming Organic Ginger tea is for the ginger purist, with each tea bag only containing organic ginger rhizome. Our Organic Ginger Aid tea is our spiciest ginger tea - formulated with ginger and other supportive herbs like turmeric, moringa, caraway, and cinnamon to support healthy digestion."
ginger-tea,Ginger Tea,5,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 1-2 cups per day. Especially good to drink before or after meals.
ginger-tea,Ginger Tea,6,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
roasted-dandelion-root-tea,Roasted Dandelion Root Tea,1,What are the benefits of drinking Dandelion Root tea?,"Our Organic Roasted Dandelion Root tea is formulated to stimulate the liver and support healthy digestion.* Specifically, the bitter flavor of dandelion roots stimulates the taste buds, triggering the secretion of digestive juices along the digestive tract, thus supporting the body’s innate digestive and detoxification processes.*"
roasted-dandelion-root-tea,Roasted Dandelion Root Tea,2,What does Dandelion Root tea taste like?,"Our Organic Roasted Dandelion Root tea has a roasted slightly nutty flavor profile with mild bitter notes, similar to a gentle black coffee but is naturally caffeine-free."
roasted-dandelion-root-tea,Roasted Dandelion Root Tea,3,What is the difference between Roasted Dandelion Root tea and Dandelion Leaf & Root tea?,"Our Organic Roasted Dandelion Root tea contains just the roots of the dandelion plant to specifically stimulate the liver and support healthy digestion.* In addition, we roast the roots to provide a pleasantly robust, roasted flavor with slightly bitter notes. In contrast, our Organic Dandelion Leaf & Root is formulated with both the roots and leaves of dandelion. Our herbalists include the leaves to provide the additional benefit of kidney support.* These unroasted ingredients offer an overall milder and sweeter flavor. Both dandelion teas are caffeine-free herbal teas."
roasted-dandelion-root-tea,Roasted Dandelion Root Tea,4,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy up to 3 cups per day.
roasted-dandelion-root-tea,Roasted Dandelion Root Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
smooth-move-tea,Smooth Move® Tea,1,What are the benefits of senna?,"Senna leaf (Cassia angustifolia, Senna alexandrina Mill.) works by gently stimulating your intestines to help you produce a bowel movement and relieve occasional constipation.*"
smooth-move-tea,Smooth Move® Tea,2,Can I drink senna tea everyday?,"Not quite. Our Organic Smooth Move products are intended for occasional support and should be used for less than one week at a time, unless otherwise directed by a physician. Concerns with long-term usage of senna products, include tolerance and dependence, meaning you may need more senna for the same effect and may become dependent on senna for peristalsis. That said, we encourage individuals to consult their healthcare practitioner for personalized consumption recommendations depending on their unique health history."
smooth-move-tea,Smooth Move® Tea,3,How quickly does senna tea work?,"Organic Smooth Move tea works best when taken at bedtime, as it generally produces a bowel movement within 6-12 hours."
smooth-move-tea,Smooth Move® Tea,4,"What is the difference between Smooth Move, Smooth Move Peppermint, and Smooth Move Chamomile teas?","Each of our Organic Smooth Move teas contains the same amount of organic senna to relieve occasional constipation but are formulated with different supporting herbal ingredients, such as peppermint in our Organic Smooth Move Peppermint tea may provide additional cramping relief and the chamomile in our Organic Smooth Move Chamomile for an added calming effect.*"
smooth-move-tea,Smooth Move® Tea,5,How to Enjoy,"Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 1 cup per day, preferably at bedtime."
smooth-move-tea,Smooth Move® Tea,6,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
chamomile-tea,Chamomile Tea,1,What is Chamomile Tea used for?,The benefits of Chamomile Tea include calming your nerves and supporting healthy digestion.*
chamomile-tea,Chamomile Tea,2,What species of chamomile do you use in your teas?,"We formulate our Organic Chamomile tea with the Matricaria chamomilla species of chamomile, commonly known as German Chamomile."
chamomile-tea,Chamomile Tea,3,What part of the chamomile plant do you use in your Organic Chamomile Tea?,"In our Organic Chamomile tea, we only use the chamomile flower, which is the most medicinal part of the plant. The chamomile flower is naturally rich in the compound azulene, which contributes to its floral fragrance and sweet honey flavor profile."
chamomile-tea,Chamomile Tea,4,Can I drink Chamomile Tea every day?,"Chamomile can be consumed every day if deemed appropriate by your healthcare professional. That said, individuals who are allergic to plants in the daisy (Asteraceae family) should not consume chamomile tea. Safety is our top priority when formulating our teas, and we list all known safety information on the side panel of our cartons and product pages of our website."
chamomile-tea,Chamomile Tea,5,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 5-10 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3-4 cups per day.
chamomile-tea,Chamomile Tea,6,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
raspberry-leaf-tea,Raspberry Leaf Tea,1,What are the benefits of Raspberry Leaf Tea?,"Our Organic Raspberry Leaf tea supports healthy menstruation, tones the uterus, and soothes normal menstrual cramps.*"
